State,County FIPS,County Name, Solar , Wind , Hydroelectric , Low-Impact Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other , Traditional TDS , Storage , Smart Grid , Micro Grid , Other Grid Mod , Coal .1, Petroleum , Natural Gas .1, Woody Biomass , Corn Ethanol , Other Clean Fuels , Other .1, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation ,Other, MV ,state_id,state_abbr,county_state_name,county_id,county_name,latitude,longitude,population,population_cohort,employment,employment_cohort,doe_climate_zone,cohort,residential_electricity_consumption,residential_electricity_expenditures,residential_electricity_utility_customers,residential_gas_consumption,residential_gas_expenditures,residential_gas_utility_customers,occuped_housing_units,commercial_electricity_consumption,commercial_electricity_expenditures,commercial_electricity_utility_customers,commercial_gas_consumption,commercial_gas_expenditures,commercial_gas_utility_customers,road_gas_consumption,road_diesel_consumption,road_miles_traveled,industry_electricity_consumption,industry_electricity_expenditures,industry_gas_consumption,residential_electricity_ghg,residential_gas_ghg,commercial_electricity_ghg,commercial_gas_ghg,industry_electricity_ghg,industry_gas_ghg,road_gas_ghg,road_diesel_ghg,egrid_primary_subregion,CO2 equivalent total output emission rate (mton/MWh),CO2 equivalent total output emission rate (mton/Mcf),CO2 equivalent total output emission rate (mton/gallon),CO2 equivalent total output emission rate (mton/gallon).1
IN,18025,Crawford County,11,2,4,6,3,7,4,5,27,5,9,6,4,4,3,9,6,9,5,4,9,3,9,4,1,312,18.0,IN,"Crawford County, IN",18025.0,Crawford County,38.289433,-86.440871,10582.0,3.0,2243.0,1.0,4.0,40301.0,60481.0,6731.0,5460.0,40771.0,399.0,708.0,4076.0,18962.0,1697.0,495.0,25386.0,174.0,89.0,8061589.0,5360175.0,239799548.0,18401.0,1283.0,17465.0,34333.0,2242.0,10764.0,1396.0,10445.0,960.0,87029.0,67834.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18027,Daviess County,1,17,3,3,9,6,6,1,75,6,2,3,7,4,1,16,7,11,1,6,53,89,167,147,65,248,18.0,IN,"Daviess County, IN",18027.0,Daviess County,38.694546,-87.072759,32583.0,6.0,20799.0,5.0,4.0,40605.0,155308.0,17847.0,12460.0,402061.0,3546.0,6181.0,11483.0,81933.0,8020.0,1442.0,158811.0,995.0,712.0,12101446.0,5864275.0,329583959.0,770866.0,53761.0,15598252.0,88162.0,22106.0,46510.0,8732.0,437588.0,857604.0,130641.0,74214.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18029,Dearborn County,8,12,9,1,8,1,2,6,59,3,3,5,3,1,61,39,1,7,5,9,17,38,65,1,13,217,18.0,IN,"Dearborn County, IN",18029.0,Dearborn County,39.148321,-84.973497,49552.0,7.0,25965.0,6.0,4.0,40706.0,269900.0,30684.0,20214.0,350671.0,3872.0,5929.0,18639.0,132968.0,13190.0,2876.0,102626.0,906.0,1054.0,23408433.0,11910481.0,665727989.0,153593.0,10712.0,2147011.0,153211.0,19280.0,75480.0,5642.0,87188.0,118044.0,252705.0,150730.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18031,Decatur County,4,4,5,6,8,9,5,6,24,14,8,1,3,8,111,1,9,6,8,7,68,134,232,35,48,4489,18.0,IN,"Decatur County, IN",18031.0,Decatur County,39.30598,-85.499831,26340.0,6.0,22337.0,5.0,5.0,50605.0,146211.0,16250.0,11218.0,302051.0,2722.0,4048.0,10120.0,72232.0,6453.0,1491.0,79849.0,571.0,396.0,17291080.0,10247724.0,501455189.0,371443.0,25905.0,2699124.0,82998.0,16607.0,41003.0,4390.0,210852.0,148400.0,186666.0,129687.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18033,DeKalb County,12,37,8,9,6,1,48,12,2,2,1,2,4,9,3,3,6,13,2,10,53,105,171,35,48,1344,18.0,IN,"DeKalb County, IN",18033.0,DeKalb County,41.401189,-85.000185,42489.0,7.0,40094.0,7.0,5.0,50707.0,180306.0,20972.0,17613.0,623347.0,5234.0,8803.0,16221.0,135986.0,13674.0,2492.0,0.0,0.0,0.0,23059568.0,12678375.0,647523345.0,2103594.0,146707.0,10567836.0,102352.0,34272.0,77193.0,0.0,1194122.0,581028.0,248939.0,160448.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18035,Delaware County,7,38,4,5,1,4,12,3,169,14,4,8,9,6,13,3,7,17,6,1,56,137,263,41,48,1657,18.0,IN,"Delaware County, IN",18035.0,Delaware County,40.227543,-85.399262,116463.0,9.0,84547.0,8.0,5.0,50908.0,542345.0,61333.0,52310.0,2296561.0,20693.0,32952.0,46104.0,690412.0,60406.0,6602.0,1204272.0,8616.0,3076.0,52568720.0,20715590.0,1393463311.0,156620.0,10923.0,1121887.0,307866.0,126267.0,391917.0,66212.0,88907.0,61682.0,567505.0,262160.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18037,Dubois County,6,20,9,5,4,3,6,7,38,10,7,7,1,5,1,1,12,7,6,5,32,75,136,20,28,2089,18.0,IN,"Dubois County, IN",18037.0,Dubois County,38.373344,-86.873385,42345.0,7.0,55095.0,7.0,4.0,40707.0,201504.0,24408.0,17679.0,427096.0,3642.0,8451.0,16311.0,152356.0,15517.0,2946.0,332165.0,2011.0,1078.0,18402146.0,7251151.0,479293892.0,550983.0,38426.0,1708685.0,114385.0,23482.0,86486.0,18263.0,312770.0,93945.0,198660.0,91765.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18039,Elkhart County,214,85,3,3,4,1,77,72,207,199,11,4,3,3,49,12,4,54,25,35,188,424,757,166,203,45107,18.0,IN,"Elkhart County, IN",18039.0,Elkhart County,41.600693,-85.863986,201640.0,11.0,253657.0,11.0,5.0,51111.0,638894.0,76210.0,77790.0,4838916.0,31791.0,68953.0,70822.0,935463.0,94180.0,11658.0,3829942.0,22825.0,6736.0,80041694.0,34425985.0,2150211227.0,3226625.0,225028.0,15968012.0,362673.0,266047.0,531023.0,210573.0,1831619.0,877934.0,864089.0,435668.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18041,Fayette County,9,2,2,9,1,5,6,3,25,8,7,3,1,8,3,7,3,3,4,4,23,60,101,15,21,535,18.0,IN,"Fayette County, IN",18041.0,Fayette County,39.639655,-85.185032,23608.0,5.0,11881.0,4.0,5.0,50504.0,112720.0,12507.0,10804.0,367392.0,4052.0,5892.0,9420.0,68683.0,6127.0,1411.0,180545.0,1599.0,631.0,7593324.0,2669622.0,194132995.0,41021.0,2861.0,100641.0,63986.0,20200.0,38989.0,9926.0,23286.0,5533.0,81974.0,33785.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18043,Floyd County,5,39,4,7,6,2,14,14,81,14,8,4,3,4,2,3,7,19,1,6,63,133,245,39,50,454,18.0,IN,"Floyd County, IN",18043.0,Floyd County,38.317936,-85.911474,76290.0,8.0,53526.0,7.0,4.0,40807.0,394968.0,43702.0,32257.0,1030560.0,9286.0,16004.0,29034.0,283742.0,25304.0,4100.0,510833.0,3655.0,1669.0,28475041.0,13645268.0,798382273.0,214982.0,14993.0,509755.0,224207.0,56661.0,161068.0,28086.0,122036.0,28027.0,307402.0,172684.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18045,Fountain County,9,8,4,6,4,5,2,1,6,339,1,4,2,4,9,7,2,11,9,1,23,53,89,13,19,915,18.0,IN,"Fountain County, IN",18045.0,Fountain County,40.121237,-87.234872,16741.0,4.0,7243.0,2.0,5.0,50402.0,90846.0,10472.0,7796.0,258405.0,2328.0,3786.0,6963.0,33405.0,3199.0,1018.0,41960.0,300.0,239.0,10075590.0,5955835.0,290803290.0,37279.0,2600.0,97414.0,51569.0,14207.0,18962.0,2307.0,21162.0,5356.0,108771.0,75372.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18047,Franklin County,4,2,5,5,8,7,8,9,30,1,5,8,8,1,8,2,9,5,9,3,3,10,18,2,7,197,18.0,IN,"Franklin County, IN",18047.0,Franklin County,39.409762,-85.066964,22887.0,5.0,7859.0,3.0,5.0,50503.0,133036.0,14897.0,9549.0,152496.0,1418.0,1915.0,8710.0,42907.0,3839.0,1137.0,12774.0,114.0,71.0,8634079.0,4273273.0,239845741.0,57665.0,4022.0,200672.0,75519.0,8384.0,24356.0,702.0,32734.0,11033.0,93209.0,54079.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18049,Fulton County,33,1,9,4,5,9,6,4,28,1,6,3,6,2,8,9,3,4,1,1,14,31,81,12,15,196,18.0,IN,"Fulton County, IN",18049.0,Fulton County,41.050384,-86.265006,20412.0,5.0,9921.0,3.0,5.0,50503.0,94113.0,10740.0,9644.0,439472.0,2887.0,5177.0,7962.0,49053.0,4619.0,1251.0,228014.0,1359.0,723.0,9041691.0,3944634.0,238271448.0,226076.0,15767.0,709866.0,53424.0,24163.0,27845.0,12536.0,128334.0,39029.0,97609.0,49920.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18051,Gibson County,10,4,9,2,1,529,22,6,21,8,2,2,8,588,584,11,7,15,6,3,21,47,81,4,10,11582,18.0,IN,"Gibson County, IN",18051.0,Gibson County,38.317398,-87.580523,33684.0,6.0,36396.0,6.0,4.0,40606.0,197546.0,22778.0,14733.0,453530.0,3978.0,7562.0,13297.0,100442.0,9389.0,1767.0,230185.0,1437.0,865.0,21970271.0,11531416.0,612715511.0,350763.0,24463.0,2372886.0,112138.0,24935.0,57016.0,12656.0,199113.0,130463.0,237180.0,145933.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18053,Grant County,5,16,7,3,3,2,15,8,63,9,8,7,7,3,2,1,7,111,18,3,29,60,108,13,23,1148,18.0,IN,"Grant County, IN",18053.0,Grant County,40.515758,-85.654946,68269.0,8.0,52441.0,7.0,5.0,50807.0,332281.0,37131.0,30247.0,1172033.0,10561.0,16142.0,26227.0,242819.0,21487.0,3840.0,488701.0,3497.0,1801.0,31368770.0,14327647.0,845242090.0,347631.0,24244.0,4026762.0,188622.0,64439.0,137838.0,26869.0,197335.0,221395.0,338641.0,181319.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18055,Greene County,9,4,9,2,8,6,3,2,97,8,8,5,9,5,31,3,6,7,8,3,10,25,48,6,1,275,18.0,IN,"Greene County, IN",18055.0,Greene County,39.047147,-87.004771,32633.0,6.0,9345.0,3.0,4.0,40603.0,173455.0,21876.0,15062.0,381160.0,3731.0,6251.0,12688.0,67228.0,6751.0,1166.0,110471.0,860.0,501.0,13685328.0,6443494.0,370247755.0,63317.0,4416.0,333189.0,98463.0,20956.0,38163.0,6074.0,35942.0,18319.0,147740.0,81544.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18057,Hamilton County,57,203,6,8,51,6,44,112,977,62,28,16,15,7,85,27,2,101,46,19,346,965,1179,170,260,3220,18.0,IN,"Hamilton County, IN",18057.0,Hamilton County,40.053646,-86.021726,303042.0,12.0,268254.0,11.0,5.0,51211.0,1485933.0,162878.0,116686.0,6012659.0,54175.0,74470.0,111443.0,1115803.0,102175.0,12200.0,2802861.0,20054.0,5817.0,127387640.0,38191190.0,3316002810.0,376074.0,26228.0,1415420.0,843501.0,330581.0,633394.0,154104.0,213482.0,77821.0,1375212.0,483318.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18059,Hancock County,7,82,4,2,5,7,85,26,140,9,5,1,9,2,5,5,7,9,7,18,94,191,187,27,70,1121,18.0,IN,"Hancock County, IN",18059.0,Hancock County,39.82253,-85.773162,71955.0,8.0,38774.0,7.0,5.0,50807.0,373599.0,41733.0,28865.0,1314247.0,11839.0,19004.0,26680.0,231828.0,21750.0,2924.0,626471.0,4432.0,1378.0,37539121.0,19681085.0,1066433517.0,176434.0,12305.0,536421.0,212076.0,72258.0,131599.0,34444.0,100154.0,29493.0,405253.0,249068.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18061,Harrison County,1,4,7,4,2,9,1,3,87,9,7,7,3,2,7,2,7,5,3,5,10,20,41,2,6,589,18.0,IN,"Harrison County, IN",18061.0,Harrison County,38.18644,-86.103681,39370.0,7.0,17698.0,5.0,4.0,40705.0,218302.0,24435.0,16616.0,218698.0,2444.0,3485.0,14524.0,115204.0,10536.0,1642.0,171804.0,1530.0,149.0,15192448.0,9429015.0,450138379.0,121862.0,8499.0,414532.0,123921.0,12024.0,65397.0,9446.0,69176.0,22791.0,164010.0,119326.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18063,Hendricks County,2,60,5,2,3,7,26,14,905,29,3,3,3,8,7,6,4,18,1,8,119,198,366,54,97,1613,18.0,IN,"Hendricks County, IN",18063.0,Hendricks County,39.768963,-86.509908,155817.0,10.0,111747.0,9.0,5.0,51009.0,776992.0,85176.0,58314.0,2275079.0,20489.0,32995.0,55744.0,1115796.0,103919.0,5841.0,2398654.0,16884.0,2875.0,58164645.0,23304497.0,1569858265.0,502541.0,35048.0,1919216.0,441065.0,125086.0,633390.0,131880.0,285272.0,105520.0,627916.0,294923.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18065,Henry County,9,5,11,14,30,2,3,4,125,2,7,2,6,1,4,1,1,6,6,1,17,26,52,7,10,741,18.0,IN,"Henry County, IN",18065.0,Henry County,39.929591,-85.397363,48953.0,7.0,22392.0,5.0,5.0,50705.0,221947.0,24635.0,21116.0,793655.0,7151.0,11455.0,17926.0,116781.0,10409.0,2460.0,260936.0,1867.0,1061.0,26128470.0,15813387.0,756651020.0,449440.0,31344.0,2215877.0,125990.0,43636.0,66292.0,14346.0,255128.0,121831.0,282070.0,200122.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18067,Howard County,1,31,3,6,6,4,4,6,239,22,3,8,5,9,6,6,3,5,5,6,51,93,184,26,33,7557,18.0,IN,"Howard County, IN",18067.0,Howard County,40.483537,-86.114118,82728.0,8.0,65503.0,8.0,5.0,50808.0,393963.0,43578.0,38661.0,1832923.0,15322.0,25581.0,34411.0,308718.0,27521.0,4914.0,0.0,0.0,0.0,31500689.0,10585027.0,801650038.0,73628.0,5135.0,2896885.0,223636.0,100776.0,175246.0,0.0,41795.0,159273.0,340065.0,133956.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18069,Huntington County,37,14,6,8,5,3,22,11,44,10,3,7,9,5,2,9,2,3,2,14,63,116,206,33,48,1016,18.0,IN,"Huntington County, IN",18069.0,Huntington County,40.826394,-85.478597,36696.0,6.0,25788.0,6.0,5.0,50606.0,181897.0,20211.0,15854.0,508866.0,4266.0,7976.0,14532.0,83139.0,7393.0,1970.0,124073.0,862.0,563.0,22442733.0,12504126.0,636380692.0,321472.0,22420.0,4203677.0,103255.0,27978.0,47195.0,6822.0,182486.0,231122.0,242280.0,158242.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18071,Jackson County,7,16,4,1,2,9,7,2,136,12,2,9,9,8,4,12,2,4,9,8,49,49,99,13,35,3172,18.0,IN,"Jackson County, IN",18071.0,Jackson County,38.911957,-86.042516,43637.0,7.0,41262.0,7.0,4.0,40707.0,230536.0,25616.0,18518.0,416566.0,3850.0,5693.0,16517.0,135818.0,12140.0,2538.0,239105.0,1682.0,1201.0,23356349.0,13174203.0,666945136.0,375435.0,26183.0,821896.0,130866.0,22903.0,77098.0,13146.0,213118.0,45188.0,252143.0,166722.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18073,Jasper County,1,5,2,5,10,73,9,5,184,2,6,8,4,5,7,6,8,103,30,5,21,54,95,15,19,514,18.0,IN,"Jasper County, IN",18073.0,Jasper County,41.017688,-87.118814,33461.0,6.0,18527.0,5.0,5.0,50605.0,123120.0,16026.0,13330.0,669968.0,4403.0,12121.0,12091.0,120125.0,13450.0,1703.0,193813.0,1154.0,1168.0,26165826.0,17245065.0,776652530.0,97235.0,6781.0,3938655.0,69890.0,36835.0,68190.0,10656.0,55196.0,216550.0,282473.0,218240.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18075,Jay County,8,28,4,6,4,7,9,3,57,1,1,4,6,9,9,7,3,52,7,1,2,20,34,9,8,1064,18.0,IN,"Jay County, IN",18075.0,Jay County,40.434972,-85.00338,21196.0,5.0,12040.0,4.0,5.0,50504.0,111765.0,12663.0,9168.0,291151.0,2856.0,4053.0,8062.0,46415.0,4064.0,1212.0,134636.0,1111.0,531.0,8851406.0,3707316.0,231946311.0,167926.0,11711.0,4389013.0,63444.0,16008.0,26348.0,7402.0,95324.0,241311.0,95555.0,46917.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18077,Jefferson County,91,6,5,8,5,432,5,6,7,2,2,6,3,6,1,5,4,9,9,4,28,62,116,17,22,1342,18.0,IN,"Jefferson County, IN",18077.0,Jefferson County,38.783604,-85.44009,32482.0,6.0,23310.0,5.0,4.0,40605.0,198409.0,22089.0,14289.0,261483.0,2356.0,3286.0,12642.0,105934.0,9459.0,1841.0,90046.0,644.0,495.0,12617468.0,5031751.0,332918793.0,303743.0,21183.0,1953910.0,112628.0,14377.0,60134.0,4951.0,172422.0,107428.0,136212.0,63678.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18079,Jennings County,7,15,4,6,2,3,7,2,6,3,5,1,1,3,17,6,2,1,8,1,20,27,78,12,16,161,18.0,IN,"Jennings County, IN",18079.0,Jennings County,38.996234,-85.628111,28023.0,6.0,12699.0,4.0,4.0,40604.0,175567.0,19634.0,12053.0,114734.0,1148.0,1716.0,10519.0,54825.0,4901.0,1217.0,114111.0,776.0,423.0,10416071.0,4752218.0,278536522.0,166984.0,11646.0,253003.0,99662.0,6308.0,31122.0,6274.0,94790.0,13910.0,112447.0,60140.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18081,Johnson County,3,78,8,3,6,2,11,22,263,28,14,3,9,1,76,2,8,15,6,13,111,256,440,60,98,1907,18.0,IN,"Johnson County, IN",18081.0,Johnson County,39.495986,-86.0946,147567.0,10.0,94238.0,9.0,5.0,51009.0,677599.0,74952.0,58640.0,2575366.0,23201.0,40549.0,53713.0,507000.0,46586.0,6359.0,1095640.0,7737.0,3165.0,58958334.0,23288064.0,1586390125.0,207468.0,14469.0,780210.0,384644.0,141596.0,287802.0,60239.0,117771.0,42897.0,636484.0,294715.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18083,Knox County,1,13,13,17,31,33,3,9,388,11,5,3,9,995,254,71,6,36,17,5,42,87,160,23,34,820,18.0,IN,"Knox County, IN",18083.0,Knox County,38.688391,-87.420354,37956.0,6.0,27834.0,6.0,4.0,40606.0,201204.0,22808.0,16938.0,518373.0,4545.0,9582.0,14655.0,131129.0,13190.0,2397.0,315334.0,1970.0,1198.0,18381854.0,8088921.0,490474206.0,255461.0,17816.0,359789.0,114215.0,28501.0,74436.0,17337.0,145014.0,19782.0,198441.0,102367.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18085,Kosciusko County,10,16,7,4,3,8,1,3,151,3,1,5,1,1,8,9,7,18,1,4,41,84,140,23,37,775,18.0,IN,"Kosciusko County, IN",18085.0,Kosciusko County,41.244293,-85.861575,78461.0,8.0,73554.0,8.0,5.0,50808.0,288820.0,36936.0,37504.0,1903370.0,12505.0,23938.0,30078.0,242599.0,28431.0,4406.0,1151638.0,6863.0,2546.0,33029019.0,12710110.0,855600816.0,826602.0,57648.0,4090863.0,163951.0,104649.0,137713.0,63318.0,469227.0,224919.0,356564.0,160849.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18087,Lagrange County,14,10,1,7,7,2,11,2,61,7,5,4,3,5,8,9,9,18,8,8,20,46,84,14,17,4189,18.0,IN,"LaGrange County, IN",18087.0,LaGrange County,41.642468,-85.426302,38395.0,7.0,25777.0,6.0,5.0,50706.0,95956.0,12410.0,14355.0,587499.0,3860.0,6406.0,11850.0,74142.0,8704.0,1800.0,460979.0,2747.0,1036.0,18094928.0,11827879.0,530740791.0,958476.0,66845.0,4355700.0,54470.0,32301.0,42087.0,25345.0,544086.0,239480.0,195344.0,149684.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18089,Lake County,550,325,9,8,1347,5,46,79,720,85,30,18,17,44,2739,16,4,30,14,30,367,764,1511,244,302,3636,18.0,IN,"Lake County, IN",18089.0,Lake County,41.472247,-87.374337,489698.0,13.0,324060.0,12.0,5.0,51312.0,1594677.0,207513.0,210007.0,16715395.0,109818.0,194385.0,184140.0,1874715.0,221166.0,25442.0,7991500.0,47626.0,14575.0,256682144.0,80890727.0,6615725472.0,3679911.0,256640.0,84679135.0,905231.0,919026.0,1064197.0,439379.0,2088930.0,4655726.0,2771009.0,1023690.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18091,La Porte County,7,41,3,4,9,2,11,12,370,11,3,9,5,8,67,30,9,22,10,19,95,209,357,50,98,618,18.0,IN,"LaPorte County, IN",18091.0,LaPorte County,41.549013,-86.744739,110993.0,9.0,70434.0,8.0,5.0,50908.0,381890.0,48566.0,48663.0,3238721.0,21278.0,42232.0,43052.0,435197.0,50570.0,5965.0,1801376.0,10735.0,3447.0,69808978.0,35311696.0,1946216240.0,1621562.0,113089.0,2358535.0,216783.0,178067.0,247043.0,99041.0,920492.0,129674.0,753622.0,446877.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18093,Lawrence County,3,28,6,8,28,4,12,5,121,11,1,2,3,1,25,20,6,2,3,5,29,66,122,18,24,164,18.0,IN,"Lawrence County, IN",18093.0,Lawrence County,38.839815,-86.48782,45696.0,7.0,22858.0,5.0,4.0,40705.0,278815.0,31027.0,20919.0,514827.0,4637.0,7156.0,18426.0,131668.0,11749.0,2354.0,168730.0,1207.0,1014.0,16461533.0,6623021.0,432905719.0,378768.0,26416.0,1451356.0,158272.0,28306.0,74743.0,9277.0,215011.0,79797.0,177710.0,83816.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18095,Madison County,66,28,7,6,5,3,2,2,53,34,2,8,3,2,2,8,8,110,26,9,63,131,252,43,50,2007,18.0,IN,"Madison County, IN",18095.0,Madison County,40.166203,-85.722454,129862.0,10.0,71905.0,8.0,5.0,51008.0,636083.0,73085.0,58701.0,2899262.0,26123.0,38988.0,51441.0,556902.0,53117.0,7197.0,1040183.0,7442.0,3273.0,56899808.0,21510400.0,1502559328.0,280535.0,19565.0,5450810.0,361078.0,159404.0,316130.0,57190.0,159248.0,299690.0,614261.0,272219.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18097,Marion County,1119,3874,23,23,162,46,190,378,2607,286,123,70,67,6,289,137,3,75,34,138,1233,2889,4653,712,998,8967,18.0,IN,"Marion County, IN",18097.0,Marion County,39.782976,-86.135794,932142.0,14.0,1046820.0,15.0,5.0,51415.0,4288192.0,444040.0,418748.0,18844084.0,169561.0,253419.0,365472.0,1936703.0,221972.0,48387.0,14120668.0,95698.0,25127.0,466459327.0,138755093.0,12000764274.0,3470478.0,242034.0,10370238.0,2434225.0,1036063.0,1099384.0,776366.0,1970043.0,570164.0,5035657.0,1755976.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18099,Marshall County,7,12,8,9,9,4,2,12,117,1,2,2,3,6,12,1,9,21,10,4,24,54,152,17,22,613,18.0,IN,"Marshall County, IN",18099.0,Marshall County,41.325003,-86.269036,46833.0,7.0,34240.0,6.0,5.0,50706.0,158017.0,20449.0,19916.0,1099054.0,7221.0,13758.0,17093.0,148530.0,17470.0,2678.0,716506.0,4270.0,1538.0,26852348.0,12025913.0,718407079.0,342786.0,23906.0,1131828.0,89699.0,60427.0,84314.0,39394.0,194585.0,62229.0,289884.0,152191.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18101,Martin County,1,15,8,5,3,9,2,4,14,5,4,3,8,5,1,5,8,7,6,6,12,33,48,1,10,23,18.0,IN,"Martin County, IN",18101.0,Martin County,38.705322,-86.801847,10218.0,3.0,4349.0,1.0,4.0,40301.0,61889.0,6870.0,4742.0,97032.0,859.0,1420.0,4219.0,25208.0,2249.0,425.0,37360.0,236.0,188.0,5506042.0,2592875.0,148330159.0,48890.0,3410.0,1832401.0,35132.0,5335.0,14310.0,2054.0,27753.0,100747.0,59440.0,32813.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18103,Miami County,1,19,9,7,7,3,12,3,42,9,5,9,2,8,3,5,5,5,1,17,11,25,74,8,14,107,18.0,IN,"Miami County, IN",18103.0,Miami County,40.772881,-86.044258,36093.0,6.0,13470.0,4.0,5.0,50604.0,156109.0,18005.0,15299.0,783575.0,5186.0,9478.0,13268.0,89749.0,8746.0,1610.0,357112.0,2131.0,848.0,15589469.0,7190651.0,418480382.0,125892.0,8780.0,295144.0,88616.0,43082.0,50947.0,19634.0,71464.0,16227.0,168296.0,90999.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18105,Monroe County,136,58,3,7,1,88,4,15,215,22,6,7,5,4,1,7,15,9,7,3,86,180,319,53,71,627,18.0,IN,"Monroe County, IN",18105.0,Monroe County,39.160751,-86.523325,143292.0,10.0,101548.0,9.0,4.0,41009.0,617696.0,71876.0,59994.0,1697904.0,15300.0,28046.0,54278.0,571981.0,52450.0,6500.0,777639.0,5563.0,2961.0,40011091.0,16112652.0,1082172340.0,265877.0,18543.0,795244.0,350640.0,93352.0,324689.0,42755.0,150927.0,43723.0,431939.0,203909.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18107,Montgomery County,33,10,3,4,7,4,3,2,120,9,3,4,5,7,6,7,8,159,34,6,32,31,52,1,11,378,18.0,IN,"Montgomery County, IN",18107.0,Montgomery County,40.040296,-86.892715,38108.0,7.0,25671.0,6.0,5.0,50706.0,181291.0,21514.0,16520.0,547853.0,4938.0,7547.0,14852.0,101504.0,10546.0,1924.0,157650.0,1128.0,628.0,20243061.0,10228624.0,560349130.0,1257941.0,87730.0,8313415.0,102911.0,30121.0,57620.0,8668.0,714080.0,457078.0,218534.0,129445.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18109,Morgan County,13,32,3,5,8,18,10,9,345,25,17,4,4,6,23,16,6,9,6,9,42,70,118,19,26,915,18.0,IN,"Morgan County, IN",18109.0,Morgan County,39.482646,-86.447457,69504.0,8.0,24488.0,5.0,5.0,50805.0,417853.0,46118.0,27898.0,858964.0,7730.0,12373.0,25655.0,118949.0,11171.0,3197.0,357013.0,2550.0,1205.0,31303374.0,15894158.0,868294079.0,86574.0,6038.0,621812.0,237198.0,47227.0,67523.0,19629.0,49144.0,34188.0,337935.0,201144.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
IN,18111,Newton County,8,4,3,5,7,6,5,1,33,8,7,4,9,9,2,6,7,10,5,3,3,4,20,1,2,90,18.0,IN,"Newton County, IN",18111.0,Newton County,40.962399,-87.402172,14022.0,4.0,4609.0,1.0,5.0,50401.0,54438.0,7059.0,6015.0,317941.0,2089.0,3835.0,5482.0,30344.0,3569.0,862.0,172342.0,1027.0,498.0,8646405.0,4725828.0,242976930.0,36573.0,2551.0,56752.0,30902.0,17481.0,17225.0,9475.0,20761.0,3120.0,93342.0,59806.0,RFCW,0.567657687,0.054980794,0.01079549,0.012655217
